doc_size,vocab_size
10,8
20,15
30,25
40,33
50,39
60,44
70,52
80,56
90,59
100,63
110,70
120,74
130,82
140,86
150,93
160,99
170,106
180,115
190,119
200,123
210,125
220,130
230,135
240,138
250,139
260,145
270,149
280,154
290,155
300,161
310,165
320,173
330,174
340,178
350,183
360,186
370,191
380,197
390,200
400,204
410,210
420,214
430,216
440,218
450,223
460,227
470,231
480,232
490,235
500,240
510,244
520,249
530,253
540,259
550,263
560,270
570,274
580,276
590,283
600,287
610,293
620,295
630,296
640,298
650,304
660,307
670,310
680,314
690,316
700,320
710,320
720,322
730,323
740,326
750,328
760,332
770,332
780,335
790,335
800,336
810,337
820,338
830,339
840,342
850,342
860,344
870,347
880,351
890,355
900,356
910,359
920,362
930,363
940,363
950,364
960,366
970,366
980,367
990,372
1000,373
1010,373
1020,375
1030,377
1040,379
1050,382
1060,384
1070,385
1080,390
1090,395
1100,396
1110,401
1120,406
1130,410
1140,412
1150,415
1160,417
1170,419
1180,422
1190,425
1200,429
1210,429
1220,432
1230,435
1240,436
1250,439
1260,441
1270,444
1280,445
1290,446
1300,448
1310,449
1320,450
1330,453
1340,454
1350,455
1360,456
1370,459
1380,460
1390,461
1400,461
1410,461
1420,465
1430,467
1440,468
1450,469
1460,470
1470,476
1480,478
1490,478
1500,479
1510,479
1520,481
1530,483
1540,487
1550,488
1560,489
1570,491
1580,494
1590,495
1600,498
1610,498
1620,499
1630,500
1640,502
1650,506
1660,508
1670,509
1680,514
1690,516
1700,518
1710,521
1720,523
1730,524
1740,527
1750,527
1760,528
1770,530
1780,532
1790,532
1800,533
1810,535
1820,537
1830,538
1840,539
1850,539
1860,542
1870,543
1880,550
1890,552
1900,555
1910,556
1920,559
1930,560
1940,561
1950,561
1960,562
1970,562
1980,562
1990,563
2000,564
2010,564
2020,565
2030,566
2040,566
2050,566
2060,567
2070,567
2080,567
2090,567
2100,567
2110,568
2120,570
2130,571
2140,571
2150,572
2160,573
2170,574
2180,576
2190,578
2200,584
2210,587
2220,591
2230,596
2240,597
2250,597
2260,598
2270,600
2280,602
2290,602
2300,602
2310,605
2320,605
2330,608
2340,608
2350,608
2360,609
2370,610
2380,612
2390,614
2400,618
2410,620
2420,621
2430,623
2440,627
2450,631
2460,632
2470,632
2480,633
2490,634
2500,636
2510,642
2520,644
2530,644
2540,645
2550,649
2560,653
2570,656
2580,656
2590,657
2600,658
2610,661
2620,661
2630,664
2640,666
2650,667
2660,670
2670,673
2680,675
2690,678
2700,680
2710,682
2720,682
2730,685
2740,688
2750,692
2760,694
2770,698
2780,700
2790,700
2800,703
2810,704
2820,707
2830,708
2840,708
2850,708
2860,711
2870,712
2880,712
2890,714
2900,716
2910,716
2920,719
2930,720
2940,722
2950,725
2960,726
2970,728
2980,730
2990,733
3000,735
3010,735
3020,737
3030,738
3040,739
3050,739
3060,741
3070,741
3080,744
3090,747
3100,749
3110,753
3120,753
3130,754
3140,754
3150,756
3160,758
3170,758
3180,760
3190,760
3200,760
3210,761
3220,764
3230,764
3240,766
3250,768
3260,768
3270,770
3280,773
3290,776
3300,780
3310,780
3320,780
3330,781
3340,782
3350,782
3360,782
3370,782
3380,783
3390,786
3400,788
3410,788
3420,789
3430,789
3440,791
3450,791
3460,791
3470,791
3480,792
3490,794
3500,794
3510,794
3520,794
3530,794
3540,795
3550,798
3560,798
3570,799
3580,799
3590,800
3600,802
3610,805
3620,808
3630,811
3640,812
3650,816
3660,816
3670,816
3680,816
3690,820
3700,822
3710,824
3720,827
3730,827
3740,827
3750,828
3760,830
3770,830
3780,831
3790,834
3800,835
3810,836
3820,836
3830,837
3840,840
3850,841
3860,844
3870,848
3880,852
3890,857
3900,858
3910,860
3920,863
3930,866
3940,869
3950,874
3960,877
3970,878
3980,880
3990,884
4000,886
4010,889
4020,892
4030,893
4040,893
4050,895
4060,898
4070,899
4080,899
4090,900
4100,900
4110,902
4120,902
4130,903
4140,906
4150,908
4160,909
4170,913
4180,914
4190,915
4200,915
4210,916
4220,916
4230,918
4240,924
4250,925
4260,928
4270,929
4280,930
4290,933
4300,935
4310,935
4320,937
4330,939
4340,942
4350,944
4360,947
4370,948
4380,950
4390,950
4400,952
4410,953
4420,956
4430,960
4440,961
4450,963
4460,963
4470,963
4480,963
4490,967
4500,969
4510,971
4520,971
4530,971
4540,971
4550,972
4560,972
4570,974
4580,974
4590,974
4600,975
4610,975
4620,976
4630,977
4640,977
4650,977
4660,978
4670,979
4680,979
4690,980
4700,982
4710,984
4720,985
4730,986
4740,988
4750,989
4760,991
4770,992
4780,994
4790,996
4800,997
4810,998
4820,999
4830,1003
4840,1007
4850,1010
4860,1011
4870,1016
4880,1018
4890,1021
4900,1024
4910,1026
4920,1032
4930,1034
4940,1036
4950,1038
4960,1038
4970,1038
4980,1038
4990,1039
5000,1040
5010,1042
5020,1042
5030,1045
5040,1050
5050,1052
5060,1053
5070,1054
5080,1056
5090,1056
5100,1056
5110,1056
5120,1060
5130,1060
5140,1060
5150,1062
5160,1062
5170,1064
5180,1065
5190,1068
5200,1069
5210,1070
5220,1070
5230,1070
5240,1070
5250,1070
5260,1070
5270,1071
5280,1073
5290,1074
5300,1074
5310,1074
5320,1074
5330,1074
5340,1075
5350,1075
5360,1076
5370,1078
5380,1078
5390,1078
5400,1078
5410,1078
5420,1078
5430,1079
5440,1079
5450,1079
5460,1079
5470,1080
5480,1082
5490,1083
5500,1085
5510,1086
5520,1086
5530,1086
5540,1086
5550,1086
5560,1087
5570,1088
5580,1088
5590,1088
5600,1089
5610,1089
5620,1089
5630,1091
5640,1093
5650,1093
5660,1093
5670,1093
5680,1093
5690,1095
5700,1095
5710,1098
5720,1099
5730,1099
5740,1099
5750,1100
5760,1102
5770,1103
5780,1103
5790,1107
5800,1107
5810,1107
5820,1108
5830,1108
5840,1109
5850,1110
5860,1111
5870,1116
5880,1117
5890,1117
5900,1117
5910,1119
5920,1119
5930,1120
5940,1125
5950,1127
5960,1132
5970,1135
5980,1138
5990,1141
6000,1143
6010,1143
6020,1146
6030,1147
6040,1150
6050,1151
6060,1154
6070,1154
6080,1154
6090,1154
6100,1154
6110,1154
6120,1157
6130,1157
6140,1157
6150,1157
6160,1158
6170,1158
6180,1158
6190,1158
6200,1158
6210,1158
6220,1158
6230,1159
6240,1160
6250,1164
6260,1165
6270,1167
6280,1167
6290,1169
6300,1171
6310,1173
6320,1177
6330,1178
6340,1179
6350,1184
6360,1184
6370,1186
6380,1186
6390,1188
6400,1189
6410,1190
6420,1191
6430,1191
6440,1192
6450,1192
6460,1193
6470,1193
6480,1195
6490,1197
6500,1198
6510,1200
6520,1202
6530,1204
6540,1204
6550,1204
6560,1207
6570,1208
6580,1211
6590,1211
6600,1211
6610,1213
6620,1213
6630,1213
6640,1213
6650,1217
6660,1219
6670,1222
6680,1222
6690,1222
6700,1225
6710,1228
6720,1228
6730,1228
6740,1229
6750,1229
6760,1231
6770,1231
6780,1231
6790,1233
6800,1234
6810,1234
6820,1234
6830,1234
6840,1236
6850,1236
6860,1236
6870,1237
6880,1237
6890,1238
6900,1238
6910,1238
6920,1238
6930,1238
6940,1242
6950,1242
6960,1245
6970,1247
6980,1248
6990,1248
7000,1248
7010,1249
7020,1249
7030,1250
7040,1250
7050,1250
7060,1251
7070,1252
7080,1252
7090,1252
7100,1252
7110,1252
7120,1254
7130,1255
7140,1256
7150,1257
7160,1258
7170,1259
7180,1261
7190,1262
7200,1266
7210,1267
7220,1267
7230,1267
7240,1267
7250,1267
7260,1268
7270,1269
7280,1269
7290,1270
7300,1271
7310,1273
7320,1273
7330,1273
7340,1275
7350,1275
7360,1276
7370,1276
7380,1278
7390,1278
7400,1280
7410,1283
7420,1284
7430,1284
7440,1284
